173.236.157.220,10101101111011001001110111011100,206.1889
173.236.157.220,10101101111011001001110111011100,214.6266
64.22.138.9,01000000000101101000101000001001,38.1377
104.26.11.47,01101000000110100000101100101111,70.5296
198.185.159.145,11000110101110011001111110010001,1123.6401
45.56.91.139,00101101001110000101101110001011,82.6052
45.56.91.139,00101101001110000101101110001011,329.1362
208.113.181.129,11010000011100011011010110000001,757.7595
104.27.174.101,01101000000110111010111001100101,98.2406
104.26.8.58,01101000000110100000100000111010,18658.4145
23.229.222.102,00010111111001011101111001100110,965.3545
98.129.229.208,01100010100000011110010111010000,110.7355
200.7.45.66,11001000000001110010110101000010,156.958
82.64.2.17,01010010010000000000001000010001,1152.8543
82.64.2.17,01010010010000000000001000010001,804.7159
104.27.186.48,01101000000110111011101000110000,47.8701
217.70.180.154,11011001010001101011010010011010,4094.6132
35.209.108.142,00100011110100010110110010001110,56.0877
98.129.229.208,01100010100000011110010111010000,853.2504
138.207.69.72,10001010110011110100010101001000,325.7222
216.152.163.58,11011000100110001010001100111010,150.6587
209.188.88.44,11010001101111000101100000101100,137.7097
98.129.229.219,01100010100000011110010111011011,237.4272
216.152.163.58,11011000100110001010001100111010,216.6578
77.72.147.91,01001101010010001001001101011011,645.9743
141.138.205.120,10001101100010101100110101111000,3128.4438
185.94.230.132,10111001010111101110011010000100,3366.9271
212.57.32.7,11010100001110010010000000000111,1.9202
92.240.253.3,01011100111100001111110100000011,794.4432
193.87.99.195,11000001010101110110001111000011,315.0377
85.248.116.95,01010101111110000111010001011111,414.2034
85.248.116.95,01010101111110000111010001011111,374.6228
212.57.36.88,11010100001110010010010001011000,1258.6821
37.9.175.24,00100101000010011010111100011000,2740.8528
37.9.175.24,00100101000010011010111100011000,2755.2049
212.57.36.88,11010100001110010010010001011000,1105.0198
195.28.64.101,11000011000111000100000001100101,911.793
91.239.201.10,01011011111011111100100100001010,78.4058
194.160.4.202,11000010101000000000010011001010,339.0392
116.202.155.158,01110100110010101001101110011110,1981.0802
195.168.42.186,11000011101010000010101010111010,103.8898
93.184.77.79,01011101101110000100110101001111,1066.3373
37.9.175.20,00100101000010011010111100010100,2010.8833
92.240.253.17,01011100111100001111110100010001,457.0405
85.248.116.95,01010101111110000111010001011111,132.8983
37.9.175.10,00100101000010011010111100001010,605.2706
37.9.175.20,00100101000010011010111100010100,264.7114
195.28.64.101,11000011000111000100000001100101,123.9542
185.77.144.193,10111001010011011001000011000001,198.4661
212.57.32.138,11010100001110010010000010001010,212.963
193.87.169.242,11000001010101111010100111110010,570.1744
69.197.183.54,01000101110001011011011100110110,349.0801
37.9.170.204,00100101000010011010101011001100,4487.4895
195.181.249.10,11000011101101011111100100001010,7086.9572
88.212.10.43,01011000110101000000101000101011,725.6934
178.238.38.12,10110010111011100010011000001100,1354.1184
88.198.167.130,01011000110001101010011110000010,3423.7709
92.240.253.72,01011100111100001111110101001000,338.1464
217.67.30.91,11011001010000110001111001011011,539.9682
93.184.77.37,01011101101110000100110100100101,473.98
93.184.77.35,01011101101110000100110100100011,1161.1299
86.110.225.4,01010110011011101110000100000100,523.7108
92.240.253.18,01011100111100001111110100010010,1175.6327
85.248.116.95,01010101111110000111010001011111,6951.4606
109.74.157.22,01101101010010101001110100010110,1059.1444
46.229.230.39,00101110111001011110011000100111,1048.9833
37.9.175.23,00100101000010011010111100010111,1457.6412
217.67.30.4,11011001010000110001111000000100,975.0374
158.195.68.14,10011110110000110100010000001110,428.7779
46.229.230.81,00101110111001011110011001010001,615.2748
92.240.253.3,01011100111100001111110100000011,329.0617
185.175.85.74,10111001101011110101010101001010,684.9126
217.31.58.51,11011001000111110011101000110011,264.4347
194.160.30.10,11000010101000000001111000001010,1382.322
188.123.97.25,10111100011110110110000100011001,255.0655
138.201.86.196,10001010110010010101011011000100,4512.832
217.75.67.167,11011001010010110100001110100111,6161.0332
212.89.224.72,11010100010110011110000001001000,614.2805
195.28.64.101,11000011000111000100000001100101,1066.3143
188.123.97.48,10111100011110110110000100110000,2533.0598
185.14.119.241,10111001000011100111011111110001,1364.4766
193.87.80.103,11000001010101110101000001100111,3186.7226
176.9.20.188,10110000000010010001010010111100,1055.3327
85.248.116.95,01010101111110000111010001011111,742.5498
5.189.164.170,00000101101111011010010010101010,222.1016
195.28.64.101,11000011000111000100000001100101,719.1688
37.9.175.3,00100101000010011010111100000011,446.3225
212.57.32.155,11010100001110010010000010011011,753.843
37.9.175.19,00100101000010011010111100010011,5320.6768
158.195.84.50,10011110110000110101010000110010,1403.0833
37.9.175.12,00100101000010011010111100001100,634.4199
92.240.253.17,01011100111100001111110100010001,845.8415
89.185.242.166,01011001101110011111001010100110,275.854
195.181.248.11,11000011101101011111100000001011,473.0952
85.248.116.11,01010101111110000111010000001011,1158.4429
195.28.64.101,11000011000111000100000001100101,498.6779
194.160.30.10,11000010101000000001111000001010,281.7543
194.212.79.252,11000010110101000100111111111100,2758.0985
195.181.249.10,11000011101101011111100100001010,2.229
217.67.30.16,11011001010000110001111000010000,479.4143
80.81.224.142,01010000010100011110000010001110,2046.282
195.201.207.208,11000011110010011100111111010000,43.7061
37.9.175.15,00100101000010011010111100001111,679.2541
46.229.230.110,00101110111001011110011001101110,262.9648
